name,Library_01,Library_02,Library_03,Library_04,Library_05,Library_06,Library_07,Library_08,Library_09,Library_10,Library_11,Library_12,Library_13,Library_14,Library_15,Library_16,Library_17,Library_18,Library_19,Library_20,Library_21,Library_22,Library_23,Library_24,Library_25,Library_26,Library_27,Library_28,Library_29,Library_30,Library_31,Library_32,Library_33,Library_34,Library_35,Library_36,Library_38,Library_39,Library_40
rno-miR-340-5p,6.0,4.0,4.0,10.0,8.0,0.0,0.0,0.0,16.0,2.0,2.0,0.0,4.0,2.0,0.0,0.0,0.0,11.0,4.0,2.0,3.0,2.0,0.0,0.0,23.0,5.0,13.0,8.0,5.0,3.0,0.0,0.0,0.0,8.0,40.0,0.0,0.0,7.0,0.0
rno-miR-342-3p,71.0,50.0,22.0,60.0,17.0,8.0,0.0,11.0,94.0,27.0,44.0,26.0,5.0,17.0,6.0,10.0,38.0,13.0,32.0,21.0,103.0,7.0,2.0,0.0,18.0,19.0,76.0,51.0,67.0,10.0,9.0,16.0,2.0,11.0,26.0,4.0,14.0,2.0,0.0
rno-miR-345-5p,8.0,0.0,2.0,22.0,17.0,0.0,0.0,0.0,43.0,8.0,15.0,8.0,5.0,0.0,5.0,0.0,9.0,3.0,6.0,2.0,32.0,7.0,0.0,0.0,11.0,2.0,24.0,13.0,14.0,16.0,0.0,0.0,0.0,5.0,17.0,0.0,9.0,8.0,0.0
rno-miR-34a-5p,11.0,39.0,7.0,102.0,160.0,0.0,0.0,13.0,29.0,7.0,2.0,11.0,5.0,11.0,4.0,6.0,4.0,4.0,17.0,5.0,51.0,2.0,3.0,2.0,4.0,6.0,6.0,7.0,29.0,10.0,2.0,34.0,0.0,2.0,29.0,8.0,21.0,27.0,0.0
rno-miR-34b-3p,5731.0,1496.0,1308.0,2523.0,823.0,196.0,64.0,294.0,3663.0,995.0,1579.0,921.0,1586.0,363.0,283.0,507.0,2642.0,1233.0,2575.0,300.0,2818.0,375.0,41.0,7.0,3501.0,865.0,2698.0,1954.0,2185.0,2220.0,155.0,277.0,190.0,1915.0,3524.0,101.0,221.0,429.0,149.0
rno-miR-34b-5p,373.0,383.0,177.0,379.0,395.0,10.0,13.0,53.0,621.0,114.0,82.0,73.0,107.0,58.0,157.0,137.0,197.0,221.0,192.0,28.0,317.0,41.0,4.0,0.0,299.0,61.0,653.0,200.0,304.0,145.0,2.0,127.0,5.0,151.0,687.0,7.0,64.0,135.0,28.0
rno-miR-34c-3p,1119.0,909.0,402.0,713.0,230.0,73.0,13.0,56.0,609.0,354.0,669.0,235.0,296.0,56.0,52.0,52.0,944.0,298.0,421.0,72.0,696.0,17.0,8.0,0.0,776.0,232.0,776.0,739.0,379.0,370.0,43.0,67.0,34.0,530.0,578.0,22.0,53.0,52.0,16.0
rno-miR-34c-5p,1065.0,1463.0,762.0,1472.0,665.0,34.0,23.0,142.0,2522.0,461.0,384.0,442.0,386.0,187.0,311.0,311.0,927.0,936.0,694.0,109.0,1354.0,97.0,13.0,2.0,942.0,189.0,2660.0,727.0,995.0,576.0,39.0,352.0,16.0,420.0,1661.0,22.0,285.0,339.0,76.0
rno-miR-350,34.0,11.0,12.0,28.0,8.0,0.0,0.0,0.0,27.0,13.0,10.0,9.0,20.0,0.0,0.0,5.0,6.0,6.0,14.0,5.0,5.0,0.0,2.0,0.0,27.0,9.0,11.0,9.0,7.0,12.0,3.0,4.0,0.0,9.0,44.0,0.0,2.0,5.0,0.0
rno-miR-3551-3p,6.0,0.0,3.0,5.0,2.0,0.0,0.0,0.0,4.0,2.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,5.0,3.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,9.0,0.0,0.0,4.0,2.0,4.0,0.0,4.0,14.0,0.0,0.0,11.0,2.0
rno-miR-3551-5p,2.0,3.0,4.0,2.0,0.0,0.0,0.0,0.0,16.0,0.0,6.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,6.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0
rno-miR-3559-5p,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
rno-miR-3580-3p,585.0,343.0,224.0,500.0,103.0,6.0,6.0,46.0,644.0,178.0,94.0,117.0,141.0,62.0,39.0,90.0,267.0,139.0,208.0,66.0,241.0,40.0,13.0,2.0,219.0,88.0,457.0,186.0,251.0,170.0,43.0,64.0,19.0,147.0,199.0,28.0,13.0,31.0,12.0
rno-miR-3596a,9.0,3.0,2.0,6.0,3.0,0.0,6.0,0.0,0.0,2.0,2.0,0.0,2.0,2.0,0.0,3.0,0.0,0.0,18.0,0.0,0.0,3.0,0.0,0.0,0.0,2.0,0.0,2.0,2.0,35.0,3.0,0.0,6.0,4.0,9.0,0.0,0.0,10.0,9.0
rno-miR-361-5p,10.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0
rno-miR-365-3p,3.0,4.0,5.0,82.0,35.0,2.0,3.0,7.0,21.0,7.0,4.0,5.0,2.0,0.0,2.0,6.0,3.0,5.0,13.0,14.0,39.0,10.0,2.0,0.0,2.0,0.0,19.0,23.0,39.0,14.0,0.0,3.0,0.0,3.0,10.0,2.0,0.0,8.0,2.0
rno-miR-375-3p,336.0,87.0,73.0,188.0,97.0,190.0,4.0,50.0,397.0,89.0,505.0,148.0,137.0,40.0,37.0,85.0,268.0,90.0,243.0,54.0,369.0,28.0,49.0,0.0,372.0,381.0,302.0,156.0,263.0,168.0,27.0,58.0,58.0,204.0,380.0,33.0,119.0,65.0,16.0
rno-miR-423-5p,10.0,7.0,2.0,37.0,16.0,0.0,2.0,10.0,17.0,2.0,2.0,2.0,0.0,7.0,8.0,0.0,0.0,6.0,12.0,2.0,43.0,7.0,0.0,0.0,7.0,4.0,13.0,21.0,28.0,6.0,7.0,13.0,2.0,2.0,6.0,8.0,5.0,2.0,0.0
rno-miR-425-3p,2.0,0.0,2.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
rno-miR-425-5p,478.0,365.0,208.0,664.0,266.0,30.0,24.0,175.0,964.0,147.0,197.0,295.0,186.0,139.0,115.0,157.0,693.0,237.0,594.0,95.0,1436.0,85.0,12.0,2.0,603.0,106.0,1268.0,357.0,782.0,355.0,38.0,285.0,16.0,246.0,541.0,13.0,86.0,109.0,30.0
rno-miR-429,8.0,7.0,2.0,50.0,47.0,3.0,2.0,33.0,31.0,4.0,7.0,15.0,9.0,18.0,18.0,21.0,7.0,7.0,44.0,7.0,104.0,23.0,6.0,3.0,6.0,6.0,27.0,18.0,27.0,32.0,6.0,34.0,4.0,6.0,108.0,0.0,23.0,68.0,6.0
rno-miR-433-3p,2.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
rno-miR-434-3p,10.0,0.0,0.0,5.0,0.0,0.0,2.0,6.0,8.0,0.0,4.0,4.0,3.0,9.0,5.0,3.0,0.0,0.0,0.0,0.0,14.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,8.0,2.0,0.0,0.0,0.0,4.0,6.0,0.0,0.0,5.0,0.0
rno-miR-449a-3p,2.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
rno-miR-449a-5p,974.0,836.0,472.0,940.0,534.0,23.0,6.0,81.0,1453.0,412.0,211.0,237.0,230.0,155.0,138.0,241.0,357.0,530.0,340.0,103.0,600.0,38.0,7.0,0.0,478.0,150.0,1052.0,326.0,420.0,277.0,43.0,185.0,20.0,303.0,920.0,35.0,104.0,213.0,66.0
rno-miR-450a-5p,3.0,0.0,0.0,10.0,14.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,4.0,4.0,4.0,0.0,0.0,0.0,0.0,0.0,2.0,4.0,0.0,3.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0
rno-miR-451-5p,10.0,0.0,2.0,67.0,168.0,0.0,26.0,11.0,14.0,0.0,0.0,8.0,0.0,25.0,5.0,12.0,2.0,4.0,40.0,16.0,112.0,49.0,2.0,0.0,12.0,2.0,8.0,28.0,50.0,14.0,2.0,25.0,0.0,7.0,54.0,0.0,8.0,31.0,10.0
rno-miR-463-3p,38.0,13.0,13.0,31.0,52.0,2.0,0.0,14.0,28.0,9.0,14.0,8.0,33.0,10.0,13.0,17.0,16.0,22.0,17.0,2.0,34.0,6.0,0.0,0.0,25.0,12.0,51.0,20.0,30.0,15.0,0.0,17.0,2.0,18.0,53.0,0.0,19.0,25.0,7.0
rno-miR-463-5p,94.0,84.0,54.0,167.0,107.0,4.0,3.0,12.0,235.0,66.0,27.0,41.0,57.0,17.0,5.0,27.0,45.0,57.0,70.0,18.0,164.0,18.0,0.0,4.0,106.0,26.0,187.0,54.0,75.0,67.0,11.0,18.0,5.0,34.0,142.0,0.0,0.0,31.0,0.0
rno-miR-465-3p,80.0,42.0,30.0,53.0,64.0,0.0,0.0,11.0,71.0,29.0,8.0,16.0,12.0,12.0,19.0,11.0,19.0,35.0,19.0,0.0,62.0,0.0,0.0,0.0,34.0,5.0,81.0,32.0,54.0,24.0,4.0,33.0,2.0,22.0,61.0,0.0,6.0,33.0,0.0
rno-miR-465-5p,15.0,6.0,0.0,16.0,3.0,2.0,0.0,5.0,6.0,0.0,4.0,0.0,9.0,0.0,2.0,2.0,10.0,6.0,13.0,2.0,9.0,4.0,0.0,0.0,5.0,6.0,7.0,4.0,7.0,4.0,0.0,4.0,4.0,4.0,13.0,2.0,0.0,0.0,0.0
rno-miR-466c-5p,13.0,4.0,0.0,10.0,5.0,0.0,0.0,0.0,11.0,5.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,5.0,7.0,3.0,6.0,0.0,0.0,0.0,11.0,0.0,10.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,8.0,0.0,0.0,4.0,0.0
rno-miR-471-3p,24.0,11.0,18.0,36.0,55.0,0.0,0.0,3.0,50.0,10.0,4.0,20.0,9.0,3.0,5.0,7.0,10.0,32.0,44.0,0.0,52.0,4.0,0.0,0.0,4.0,0.0,36.0,30.0,22.0,12.0,2.0,11.0,0.0,11.0,38.0,0.0,5.0,7.0,2.0
rno-miR-471-5p,15.0,2.0,5.0,18.0,22.0,0.0,0.0,0.0,14.0,8.0,0.0,4.0,8.0,2.0,0.0,3.0,5.0,5.0,2.0,0.0,8.0,0.0,0.0,0.0,12.0,0.0,17.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,12.0,0.0,0.0,11.0,0.0
rno-miR-483-3p,4.0,0.0,12.0,9.0,4.0,0.0,0.0,5.0,14.0,0.0,7.0,4.0,2.0,3.0,0.0,3.0,8.0,3.0,7.0,2.0,6.0,0.0,0.0,0.0,4.0,7.0,5.0,4.0,7.0,5.0,4.0,8.0,0.0,7.0,8.0,0.0,0.0,0.0,0.0
rno-miR-499-5p,4.0,0.0,5.0,4.0,7.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,2.0,0.0,0.0,3.0,0.0,4.0,0.0,0.0,9.0,0.0,0.0,0.0,2.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,0.0,0.0,0.0,0.0
rno-miR-500-3p,2.0,0.0,0.0,3.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,3.0,2.0,0.0,0.0,0.0,0.0,5.0,0.0,6.0,0.0,0.0
rno-miR-505-3p,17.0,7.0,7.0,24.0,17.0,2.0,0.0,2.0,26.0,3.0,13.0,2.0,7.0,0.0,0.0,0.0,9.0,4.0,11.0,5.0,12.0,0.0,0.0,0.0,12.0,8.0,12.0,12.0,18.0,0.0,0.0,4.0,0.0,4.0,9.0,0.0,3.0,0.0,6.0
rno-miR-505-5p,3.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,5.0,3.0,7.0,0.0,2.0,0.0,0.0,0.0,2.0,0.0,3.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0
rno-miR-532-3p,6.0,0.0,0.0,10.0,0.0,6.0,0.0,0.0,5.0,0.0,11.0,5.0,0.0,0.0,0.0,0.0,6.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,3.0,0.0,4.0,5.0,3.0,0.0,2.0,2.0,3.0,0.0,6.0,2.0,0.0
rno-miR-652-3p,2.0,3.0,0.0,22.0,71.0,0.0,0.0,10.0,13.0,0.0,4.0,7.0,0.0,8.0,6.0,5.0,0.0,0.0,0.0,2.0,51.0,8.0,0.0,0.0,2.0,15.0,7.0,15.0,24.0,5.0,0.0,13.0,0.0,5.0,11.0,3.0,36.0,13.0,6.0
rno-miR-672-5p,22.0,9.0,12.0,53.0,33.0,0.0,2.0,30.0,49.0,14.0,23.0,32.0,27.0,21.0,26.0,36.0,25.0,21.0,109.0,34.0,197.0,77.0,16.0,2.0,15.0,34.0,39.0,11.0,79.0,51.0,15.0,37.0,6.0,26.0,131.0,14.0,19.0,79.0,0.0
rno-miR-676,4.0,0.0,2.0,4.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,2.0,4.0,2.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0
rno-miR-702-3p,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
rno-miR-741-3p,800.0,390.0,288.0,881.0,386.0,21.0,21.0,65.0,1264.0,233.0,184.0,263.0,220.0,110.0,106.0,120.0,455.0,293.0,292.0,66.0,709.0,91.0,15.0,0.0,491.0,180.0,1268.0,320.0,557.0,354.0,33.0,147.0,12.0,326.0,448.0,23.0,39.0,95.0,27.0
rno-miR-742-3p,4.0,15.0,7.0,17.0,32.0,0.0,0.0,2.0,31.0,14.0,11.0,16.0,9.0,0.0,7.0,7.0,4.0,19.0,2.0,0.0,12.0,0.0,0.0,0.0,17.0,2.0,36.0,17.0,12.0,10.0,5.0,9.0,0.0,14.0,29.0,0.0,24.0,19.0,8.0
rno-miR-742-5p,19.0,10.0,10.0,27.0,29.0,0.0,0.0,6.0,47.0,29.0,7.0,13.0,6.0,9.0,0.0,7.0,4.0,9.0,4.0,0.0,11.0,0.0,0.0,0.0,7.0,6.0,22.0,14.0,4.0,2.0,0.0,9.0,0.0,14.0,29.0,0.0,0.0,5.0,0.0
rno-miR-743a-3p,199.0,90.0,91.0,207.0,179.0,17.0,6.0,45.0,256.0,95.0,169.0,105.0,85.0,54.0,53.0,70.0,98.0,124.0,96.0,33.0,295.0,33.0,5.0,0.0,217.0,95.0,227.0,175.0,148.0,100.0,4.0,97.0,8.0,109.0,338.0,10.0,164.0,126.0,24.0
rno-miR-743a-5p,73.0,5.0,23.0,29.0,4.0,0.0,0.0,0.0,44.0,21.0,20.0,14.0,25.0,3.0,0.0,6.0,22.0,13.0,13.0,6.0,22.0,0.0,0.0,0.0,43.0,6.0,42.0,6.0,13.0,7.0,2.0,0.0,0.0,12.0,20.0,0.0,0.0,0.0,0.0
rno-miR-743b-3p,60.0,60.0,27.0,99.0,57.0,0.0,2.0,10.0,95.0,24.0,19.0,32.0,23.0,8.0,29.0,13.0,43.0,70.0,47.0,16.0,125.0,12.0,0.0,0.0,72.0,5.0,149.0,48.0,63.0,46.0,8.0,21.0,0.0,22.0,89.0,0.0,4.0,20.0,0.0
rno-miR-743b-5p,90.0,40.0,52.0,112.0,48.0,3.0,0.0,7.0,106.0,60.0,23.0,40.0,40.0,9.0,2.0,6.0,46.0,35.0,31.0,7.0,28.0,8.0,0.0,0.0,65.0,18.0,72.0,40.0,43.0,54.0,13.0,11.0,3.0,31.0,95.0,2.0,10.0,25.0,5.0
rno-miR-7a-1-3p,3.0,0.0,0.0,10.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,2.0,2.0,0.0,5.0,0.0,0.0,0.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,3.0,0.0,0.0,0.0,0.0
rno-miR-7a-2-3p,2.0,7.0,6.0,4.0,2.0,0.0,0.0,0.0,11.0,2.0,0.0,2.0,2.0,0.0,0.0,0.0,13.0,0.0,2.0,0.0,6.0,4.0,0.0,0.0,2.0,4.0,9.0,0.0,3.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
rno-miR-7a-5p,1351.0,578.0,396.0,899.0,247.0,19.0,8.0,70.0,989.0,367.0,178.0,252.0,394.0,97.0,98.0,157.0,301.0,410.0,510.0,99.0,595.0,34.0,8.0,2.0,664.0,91.0,877.0,423.0,335.0,406.0,31.0,95.0,31.0,376.0,836.0,21.0,58.0,112.0,24.0
rno-miR-7b,32.0,12.0,4.0,29.0,0.0,0.0,0.0,0.0,16.0,6.0,8.0,3.0,10.0,0.0,4.0,3.0,5.0,9.0,6.0,4.0,8.0,0.0,0.0,0.0,9.0,2.0,17.0,7.0,11.0,2.0,0.0,5.0,0.0,11.0,20.0,0.0,0.0,2.0,2.0
rno-miR-871-3p,14.0,5.0,2.0,34.0,39.0,0.0,0.0,9.0,17.0,0.0,5.0,15.0,0.0,13.0,8.0,9.0,2.0,4.0,12.0,0.0,18.0,4.0,0.0,0.0,9.0,0.0,18.0,14.0,11.0,22.0,3.0,20.0,0.0,3.0,37.0,5.0,7.0,28.0,4.0
rno-miR-871-5p,35.0,4.0,8.0,24.0,14.0,0.0,3.0,10.0,17.0,20.0,7.0,13.0,16.0,13.0,9.0,7.0,8.0,13.0,33.0,2.0,47.0,9.0,0.0,0.0,5.0,7.0,20.0,22.0,14.0,14.0,0.0,19.0,0.0,15.0,19.0,4.0,5.0,19.0,0.0
rno-miR-878,40.0,37.0,18.0,63.0,75.0,2.0,0.0,13.0,95.0,21.0,9.0,14.0,16.0,18.0,6.0,20.0,23.0,15.0,17.0,4.0,66.0,0.0,0.0,0.0,19.0,3.0,73.0,29.0,38.0,22.0,0.0,28.0,2.0,39.0,102.0,2.0,24.0,50.0,12.0
rno-miR-880-3p,27.0,19.0,12.0,41.0,90.0,2.0,0.0,8.0,39.0,17.0,9.0,12.0,9.0,8.0,8.0,14.0,13.0,30.0,17.0,2.0,12.0,3.0,0.0,0.0,35.0,3.0,47.0,18.0,16.0,28.0,0.0,19.0,0.0,11.0,129.0,0.0,0.0,29.0,0.0
rno-miR-881-3p,15.0,7.0,4.0,30.0,2.0,0.0,0.0,2.0,33.0,10.0,2.0,8.0,0.0,2.0,2.0,2.0,9.0,4.0,6.0,2.0,29.0,0.0,0.0,0.0,9.0,6.0,21.0,11.0,12.0,0.0,0.0,10.0,0.0,10.0,13.0,0.0,0.0,7.0,0.0
rno-miR-883-3p,38.0,26.0,8.0,31.0,76.0,0.0,2.0,4.0,40.0,9.0,10.0,15.0,16.0,11.0,6.0,8.0,4.0,22.0,16.0,0.0,11.0,6.0,0.0,0.0,35.0,0.0,42.0,27.0,19.0,28.0,0.0,4.0,0.0,5.0,51.0,0.0,2.0,10.0,2.0
rno-miR-883-5p,5.0,3.0,0.0,2.0,3.0,0.0,0.0,2.0,2.0,0.0,2.0,4.0,2.0,0.0,0.0,0.0,2.0,5.0,2.0,0.0,7.0,0.0,0.0,0.0,3.0,0.0,10.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,7.0,0.0,2.0,6.0,0.0
rno-miR-92a-3p,26.0,18.0,8.0,40.0,23.0,0.0,2.0,4.0,25.0,10.0,12.0,12.0,7.0,11.0,8.0,6.0,23.0,5.0,24.0,10.0,43.0,3.0,0.0,0.0,30.0,6.0,38.0,16.0,43.0,13.0,3.0,9.0,0.0,15.0,23.0,0.0,0.0,11.0,0.0
rno-miR-93-5p,267.0,215.0,224.0,298.0,105.0,39.0,3.0,22.0,496.0,170.0,174.0,124.0,109.0,17.0,24.0,56.0,208.0,109.0,143.0,45.0,181.0,8.0,14.0,0.0,196.0,103.0,296.0,157.0,160.0,85.0,13.0,28.0,5.0,121.0,220.0,16.0,44.0,18.0,8.0
